id;username;repo_name;url
1;hungrily blah;perfectly rightfully nor;https://damaged-pole.org/
2;patiently;lining output;https://elegant-ideal.name
3;mockingly abnormality when;bait;https://light-candidacy.org
4;unless woot;giving which duh;https://quarrelsome-finish.com/
5;wilted blackmail plaintiff;than perfectly;https://thin-imitation.com
6;beyond save;inasmuch;https://glossy-owner.name
7;oxford steel;majestically furthermore demonstrate;https://jittery-prostacyclin.com
8;yowza;repentant group;https://disgusting-overcoat.name
9;fickle incidentally loudly;lead pace;https://glorious-diffuse.net
10;overconfidently cute;less victorious postulate;https://entire-futon.info
